event_id,place,,,status,,lane_bow,club,,,,,,crew,,rower,,,,penalty,penalty_desc,time_official,delta,,percent,split1,,,cum1,,,,split2,,,cum2,,split3,cum3,,splitF,cum4
52,1,,,Finished,,2,Cornell University Crew,,,,,,1176.000531,,I. Sigal,,,,,,16:45.915,,,0,3:57.475,,,3:57.475,,,,5:23.522,,,9:20.997,,4:45.627,14:06.624,,2:39.291,16:45.915
52,2,,,Finished,,12,Georgetown University,,,,,,1176.000766,,K. McGowan,,,,,,17:21.104,35.18,,0.035,4:05.875,,,4:05.875,,,,5:34.493,,,9:40.368,,4:52.627,14:32.995,,2:48.109,17:21.104
52,3,,,Finished,,4,Columbia University,,,,,,1176.000519,,G. Patterson,,,,,,17:22.809,36.89,,0.0367,4:03.059,,,4:03.059,,,,5:36.858,,,9:39.917,,4:58.117,14:38.034,,2:44.775,17:22.809
52,4,,,Finished,,14,University Of Virginia Rowing Association,,,,,,1176.002058,,D. Weihs,,,,,,17:30.085,44.17,,0.0439,4:06.643,,,4:06.643,,,,5:34.450,,,9:41.093,,5:00.276,14:41.369,,2:48.716,17:30.085
52,5,,,Finished,,3,New York Athletic Club,,,,,,1176.001261,,R. Kirlin,,,,,,17:32.712,46.79,,0.0465,4:05.518,,,4:05.518,,,,5:37.628,,,9:43.146,,5:00.175,14:43.321,,2:49.391,17:32.712
52,6,,,Finished,,6,University Of Pennsylvania Crew,,,,,,1176.002035,,,,,,,,17:34.323,48.40,,0.0481,4:05.978,,,4:05.978,,,,5:37.553,,,9:43.531,,5:02.394,14:45.925,,2:48.398,17:34.323
52,7,,,Finished,,1,Brock University,,,,,,1176.000216,,B. Cushnie,,,,,,17:47.122,1:01.20,,0.0608,4:12.948,,,4:12.948,,,,5:39.682,,,9:52.630,,5:02.198,14:54.828,,2:52.294,17:47.122
52,8,,,Finished,,13,Undine Barge Club,,,,,,1176.001867,,M. Ryan,,,,,,17:48.626,1:02.71,,0.0623,4:13.186,,,4:13.186,,,,5:41.476,,,9:54.662,,5:00.944,14:55.606,,2:53.020,17:48.626
52,9,,,Finished,,5,Yale University Crew,,,,,,1176.002239,,,,,,,,17:51.395,1:05.48,,0.0651,4:11.322,,,4:11.322,,,,5:42.315,,,9:53.637,,5:05.846,14:59.483,,2:51.912,17:51.395
52,10,,,Finished,,15,University of Delaware Men's Crew,,,,,,1176.001994,,,,,,,,17:56.055,1:10.14,,0.0697,4:14.827,,,4:14.827,,,,5:43.528,,,9:58.355,,5:08.051,15:06.406,,2:49.649,17:56.055
52,11,,,Finished,,7,Riverside Boat Club,,,,,,1176.001483,,K. Mandehr,,,,,,18:01.345,1:15.43,,0.075,4:15.868,,,4:15.868,,,,5:47.321,,,10:03.189,,5:05.637,15:08.826,,2:52.519,18:01.345
52,12,,,Finished,,10,Fordham University,,,,,,1176.00069,,F. Giustini,,,,,,18:06.645,1:20.73,,0.0803,4:18.800,,,4:18.800,,,,5:49.231,,,10:08.031,,5:05.328,15:13.359,,2:53.286,18:06.645
52,13,,,Finished,,11,New York Maritime College Crew,,,,,,1176.001268,,,,,,,,18:12.816,1:26.90,,0.0864,4:21.882,,,4:21.882,,,,5:46.064,,,10:07.946,,5:06.132,15:14.078,,2:58.738,18:12.816
52,14,,,Finished,,8,Lincoln Park Boat Club,,,,,,1176.000916,,D. Hogan,,,,,,18:27.822,1:41.90,,0.1013,4:25.207,,,4:25.207,,,,5:57.399,,,10:22.606,,5:09.811,15:32.417,,2:55.405,18:27.822
52,15,,,Finished,,9,Massachusetts Institute Of Technology,,,,,,1176.001012,,C. Douglas,,,,,,19:02.503,2:16.58,,0.1358,4:23.754,,,4:23.754,,,,6:04.085,,,10:27.839,,5:25.970,15:53.809,,3:08.694,19:02.503
